file_path,class_label,file_name,file_ext,width,height,aspect_ratio,pixels,file_size_kb,color_mode
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3850.jpg,Kaca,R_3850.jpg,.jpg,225,225,1.0,50625,2.6,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3851.jpg,Kaca,R_3851.jpg,.jpg,225,225,1.0,50625,4.86,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3852.jpg,Kaca,R_3852.jpg,.jpg,225,225,1.0,50625,2.65,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3853.jpg,Kaca,R_3853.jpg,.jpg,183,275,0.6655,50325,3.83,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3854.jpg,Kaca,R_3854.jpg,.jpg,194,259,0.749,50246,3.16,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3855.jpg,Kaca,R_3855.jpg,.jpg,225,225,1.0,50625,3.42,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3856.jpg,Kaca,R_3856.jpg,.jpg,259,194,1.3351,50246,2.07,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3857.jpg,Kaca,R_3857.jpg,.jpg,225,225,1.0,50625,2.66,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3858.jpg,Kaca,R_3858.jpg,.jpg,225,225,1.0,50625,2.5,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3859.jpg,Kaca,R_3859.jpg,.jpg,225,225,1.0,50625,3.65,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3860.jpg,Kaca,R_3860.jpg,.jpg,88,222,0.3964,19536,2.89,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3861.jpg,Kaca,R_3861.jpg,.jpg,225,225,1.0,50625,4.65,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3862.jpg,Kaca,R_3862.jpg,.jpg,293,172,1.7035,50396,3.88,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3863.jpg,Kaca,R_3863.jpg,.jpg,225,225,1.0,50625,3.95,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3864.jpg,Kaca,R_3864.jpg,.jpg,182,277,0.657,50414,4.53,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3865.jpg,Kaca,R_3865.jpg,.jpg,183,275,0.6655,50325,5.1,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3866.jpg,Kaca,R_3866.jpg,.jpg,217,232,0.9353,50344,3.38,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3867.jpg,Kaca,R_3867.jpg,.jpg,225,225,1.0,50625,5.6,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3868.jpg,Kaca,R_3868.jpg,.jpg,225,225,1.0,50625,2.95,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3869.jpg,Kaca,R_3869.jpg,.jpg,196,256,0.7656,50176,4.95,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3870.jpg,Kaca,R_3870.jpg,.jpg,269,187,1.4385,50303,10.5,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3871.jpg,Kaca,R_3871.jpg,.jpg,96,203,0.4729,19488,2.17,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3872.jpg,Kaca,R_3872.jpg,.jpg,183,275,0.6655,50325,4.25,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3873.jpg,Kaca,R_3873.jpg,.jpg,284,177,1.6045,50268,4.01,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3874.jpg,Kaca,R_3874.jpg,.jpg,225,225,1.0,50625,4.31,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3875.jpg,Kaca,R_3875.jpg,.jpg,98,199,0.4925,19502,2.4,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3876.jpg,Kaca,R_3876.jpg,.jpg,244,207,1.1787,50508,7.6,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3877.jpg,Kaca,R_3877.jpg,.jpg,183,275,0.6655,50325,3.88,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3878.jpg,Kaca,R_3878.jpg,.jpg,300,168,1.7857,50400,9.89,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3879.jpg,Kaca,R_3879.jpg,.jpg,314,161,1.9503,50554,12.06,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3880.jpg,Kaca,R_3880.jpg,.jpg,194,259,0.749,50246,5.03,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3881.jpg,Kaca,R_3881.jpg,.jpg,225,225,1.0,50625,4.59,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3882.jpg,Kaca,R_3882.jpg,.jpg,225,225,1.0,50625,2.4,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3883.jpg,Kaca,R_3883.jpg,.jpg,261,193,1.3523,50373,6.02,RGB
C:\Users\Lenovo\.cache\kagglehub\datasets\fathurrahmanalfarizy\sampah-daur-ulang\versions\5\DATASETS\Kaca\R_3884.jpg,Kaca,R_3884.jpg,.jpg,159,318,0.5,50562,8.7,RGB
